link,name,salary,city
https://spb.hh.ru/vacancy/39633382?query=php,Backend разработчик (Middle PHP developer),от 120 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39736565?query=php,Backend PHP разработчик,70 000-120 000 руб.,Краснодар
https://spb.hh.ru/vacancy/39536989?query=php,Senior PHP Developer,от 180 000 руб.,"Москва, Бауманская"
https://spb.hh.ru/vacancy/39889731?query=php,Ведущий PHP разработчик (Senior PHP Developer),до 230 000 руб.,"Санкт-Петербург, Балтийская и еще 1 "
https://spb.hh.ru/vacancy/39893199?query=php,PHP-developer (Laravel),от 100 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39930810?query=php,Middle PHP Developer,2 500-3 500 USD,"Киев, Дворец спорта и еще 1 "
https://spb.hh.ru/vacancy/39614427?query=php,PHP Backend разработчик,2 500-4 500 EUR,Кипр
https://spb.hh.ru/vacancy/39908952?query=php,Web-программист,от 45 000 руб.,"Москва, Тропарево"
https://spb.hh.ru/vacancy/39917208?query=php,Программист (front end/back end) senior junior or middle,до 200 000 KZT,Алматы
https://spb.hh.ru/vacancy/39481843?query=php,Программист PHP,от 120 000 руб.,Москва
https://spb.hh.ru/vacancy/39442408?query=php,Веб-разработчик (удаленно),от 40 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39966493?query=php,PHP-разработчик,80 000-100 000 руб.,Ростов-на-Дону
https://spb.hh.ru/vacancy/39668321?query=php,Junior PHP-разработчик / Начинающий web-программист,20 000-30 000 руб.,Волгоград
https://spb.hh.ru/vacancy/39690428?query=php,PHP-программист,30 000-35 000 грн.,Киев
https://spb.hh.ru/vacancy/39966780?query=php,Senior PHP Developer,1 000-1 500 USD,Минск
https://spb.hh.ru/vacancy/37975781?query=php,Программист PHP,180 000-250 000 руб.,"Москва, Авиамоторная"
https://spb.hh.ru/vacancy/39963586?query=php,PHP-разработчик (удалённо),до 90 000 руб.,Москва
https://spb.hh.ru/vacancy/39863839?query=php,PHP-программист,от 100 000 руб.,Москва
https://spb.hh.ru/vacancy/39950882?query=php,Senior PHP Developer,150 000-200 000 руб.,Москва
https://spb.hh.ru/vacancy/39420333?query=php,PHP-программист,106 000-180 000 руб.,Казань
https://spb.hh.ru/vacancy/39893666?query=php,Junior PHP Developer,до 60 000 руб.,Барнаул
https://spb.hh.ru/vacancy/39966492?query=php,PHP-разработчик,80 000-100 000 руб.,Краснодар
https://spb.hh.ru/vacancy/39762310?query=php,"Программист PHP, Laravel",70 000-100 000 руб.,Краснодар
https://spb.hh.ru/vacancy/39551156?query=php,Senior PHP Developer / PHP программист,150 000-299 000 руб.,"Москва, Аэропорт"
https://spb.hh.ru/vacancy/39799213?query=php,PHP-разработчик,70 000-150 000 руб.,Москва
https://spb.hh.ru/vacancy/38946409?query=php,PHP Developer (Symfony4),150 000-180 000 руб.,"Москва, Кузнецкий мост и еще 2 "
https://spb.hh.ru/vacancy/39776955?query=php,Php программист,10 000 000-20 000 000 сум,Ташкент
https://spb.hh.ru/vacancy/39480459?query=php,Программист PHP (Backend) | Middle,100 000-120 000 руб.,Владивосток
https://spb.hh.ru/vacancy/39535976?query=php,Начинающий WEB-программист,35 000-50 000 руб.,Тула
https://spb.hh.ru/vacancy/39847393?query=php,Web-программист (удалённо),40 000-55 000 руб.,Борисоглебск
https://spb.hh.ru/vacancy/39350215?query=php,PHP Developer,120 000-180 000 руб.,"Санкт-Петербург, Петроградская"
https://spb.hh.ru/vacancy/39654392?query=php,"PHP-программист (Yii, Laravel)",до 100 000 руб.,Краснодар
https://spb.hh.ru/vacancy/39349714?query=php,Программист PHP,от 120 000 руб.,Москва
https://spb.hh.ru/vacancy/39961232?query=php,Программист PHP (junior),от 30 000 руб.,Ростов-на-Дону
https://spb.hh.ru/vacancy/39702166?query=php,PHP developer / Программист PHP,до 150 000 руб.,Саратов
https://spb.hh.ru/vacancy/37463297?query=php,Программист PHP,100 000-120 000 руб.,Белгород
https://spb.hh.ru/vacancy/39376334?query=php,PHP-разработчик / Senior PHP,до 230 000 руб.,"Москва, Тульская"
https://spb.hh.ru/vacancy/38968798?query=php,PHP-программист,50 000-60 000 руб.,Хабаровск
https://spb.hh.ru/vacancy/39485347?query=php,PHP Developer,1 500-3 000 USD,"Минск, Немига"
https://spb.hh.ru/vacancy/39646821?query=php,PHP Developer (PHP разработчик),100 000-140 000 руб.,"Москва, Тульская"
https://spb.hh.ru/vacancy/39891813?query=php,Программист PHP,80 000-100 000 руб.,"Москва, Нагатинская"
https://spb.hh.ru/vacancy/39477366?query=php,Junior/Middle PHP developer,от 70 000 руб.,"Санкт-Петербург, Горьковская и еще 2 "
